,gene_ids,feature_types,n_cells
GRCh38___SH3BGRL3,GRCh38___ENSG00000142669,Gene Expression,85055
GRCh38___UBXN11,GRCh38___ENSG00000158062,Gene Expression,20980
GRCh38___CD52,GRCh38___ENSG00000169442,Gene Expression,80027
GRCh38___CRYBG2,GRCh38___ENSG00000176092,Gene Expression,399
GRCh38___ZNF683,GRCh38___ENSG00000176083,Gene Expression,17554
GRCh38___DHDDS,GRCh38___ENSG00000117682,Gene Expression,6196
GRCh38___AL513365.2,GRCh38___ENSG00000225891,Gene Expression,8
GRCh38___HMGN2,GRCh38___ENSG00000198830,Gene Expression,67969
GRCh38___RPS6KA1,GRCh38___ENSG00000117676,Gene Expression,23501
GRCh38___AL512408.1,GRCh38___ENSG00000260063,Gene Expression,85
GRCh38___ARID1A,GRCh38___ENSG00000117713,Gene Expression,21778
GRCh38___PIGV,GRCh38___ENSG00000060642,Gene Expression,1527
GRCh38___ZDHHC18,GRCh38___ENSG00000204160,Gene Expression,5049
GRCh38___SFN,GRCh38___ENSG00000175793,Gene Expression,52
GRCh38___AL034380.1,GRCh38___ENSG00000226698,Gene Expression,8
GRCh38___GPN2,GRCh38___ENSG00000142751,Gene Expression,7027
GRCh38___GPATCH3,GRCh38___ENSG00000198746,Gene Expression,9613
GRCh38___NUDC,GRCh38___ENSG00000090273,Gene Expression,30603
GRCh38___KDF1,GRCh38___ENSG00000175707,Gene Expression,99
GRCh38___TRNP1,GRCh38___ENSG00000253368,Gene Expression,170
GRCh38___TENT5B,GRCh38___ENSG00000158246,Gene Expression,36
GRCh38___SLC9A1,GRCh38___ENSG00000090020,Gene Expression,2344
GRCh38___WDTC1,GRCh38___ENSG00000142784,Gene Expression,5586
GRCh38___TMEM222,GRCh38___ENSG00000186501,Gene Expression,14551
GRCh38___SYTL1,GRCh38___ENSG00000142765,Gene Expression,31329
GRCh38___MAP3K6,GRCh38___ENSG00000142733,Gene Expression,2119
GRCh38___FCN3,GRCh38___ENSG00000142748,Gene Expression,4
GRCh38___GPR3,GRCh38___ENSG00000181773,Gene Expression,97
GRCh38___WASF2,GRCh38___ENSG00000158195,Gene Expression,51086
GRCh38___BX293535.1,GRCh38___ENSG00000237429,Gene Expression,130
GRCh38___AHDC1,GRCh38___ENSG00000126705,Gene Expression,2819
GRCh38___FGR,GRCh38___ENSG00000000938,Gene Expression,35215
GRCh38___LINC02574,GRCh38___ENSG00000233975,Gene Expression,56
GRCh38___IFI6,GRCh38___ENSG00000126709,Gene Expression,47979
GRCh38___FAM76A,GRCh38___ENSG00000009780,Gene Expression,6269
GRCh38___STX12,GRCh38___ENSG00000117758,Gene Expression,15245
GRCh38___PPP1R8,GRCh38___ENSG00000117751,Gene Expression,6586
GRCh38___THEMIS2,GRCh38___ENSG00000130775,Gene Expression,29528
GRCh38___RPA2,GRCh38___ENSG00000117748,Gene Expression,20718
GRCh38___SMPDL3B,GRCh38___ENSG00000130768,Gene Expression,92
GRCh38___AL512288.1,GRCh38___ENSG00000227050,Gene Expression,6
GRCh38___XKR8,GRCh38___ENSG00000158156,Gene Expression,5804
GRCh38___EYA3,GRCh38___ENSG00000158161,Gene Expression,4189
GRCh38___PTAFR,GRCh38___ENSG00000169403,Gene Expression,11533
GRCh38___DNAJC8,GRCh38___ENSG00000126698,Gene Expression,42774
GRCh38___ATP5IF1,GRCh38___ENSG00000130770,Gene Expression,55062
GRCh38___AL353622.1,GRCh38___ENSG00000270605,Gene Expression,1084
GRCh38___AL353622.2,GRCh38___ENSG00000271398,Gene Expression,46
GRCh38___SESN2,GRCh38___ENSG00000130766,Gene Expression,9032
GRCh38___MED18,GRCh38___ENSG00000130772,Gene Expression,1885
GRCh38___PHACTR4,GRCh38___ENSG00000204138,Gene Expression,16052
GRCh38___RCC1,GRCh38___ENSG00000180198,Gene Expression,30761
GRCh38___TRNAU1AP,GRCh38___ENSG00000180098,Gene Expression,11970
GRCh38___SNHG12,GRCh38___ENSG00000197989,Gene Expression,14251
GRCh38___TAF12,GRCh38___ENSG00000120656,Gene Expression,14755
GRCh38___RAB42,GRCh38___ENSG00000188060,Gene Expression,16
GRCh38___LINC01715,GRCh38___ENSG00000229388,Gene Expression,342
GRCh38___AL360012.1,GRCh38___ENSG00000270103,Gene Expression,1429
GRCh38___GMEB1,GRCh38___ENSG00000162419,Gene Expression,11520
GRCh38___YTHDF2,GRCh38___ENSG00000198492,Gene Expression,28757
GRCh38___AL009181.1,GRCh38___ENSG00000233427,Gene Expression,5
GRCh38___EPB41,GRCh38___ENSG00000159023,Gene Expression,36828
GRCh38___TMEM200B,GRCh38___ENSG00000253304,Gene Expression,9
GRCh38___SRSF4,GRCh38___ENSG00000116350,Gene Expression,33811
GRCh38___MECR,GRCh38___ENSG00000116353,Gene Expression,3269
GRCh38___PTPRU,GRCh38___ENSG00000060656,Gene Expression,31
GRCh38___MATN1,GRCh38___ENSG00000162510,Gene Expression,157
GRCh38___MATN1-AS1,GRCh38___ENSG00000186056,Gene Expression,1274
GRCh38___LAPTM5,GRCh38___ENSG00000162511,Gene Expression,76631
GRCh38___SDC3,GRCh38___ENSG00000162512,Gene Expression,603
GRCh38___PUM1,GRCh38___ENSG00000134644,Gene Expression,20301
GRCh38___NKAIN1,GRCh38___ENSG00000084628,Gene Expression,7
GRCh38___SNRNP40,GRCh38___ENSG00000060688,Gene Expression,18348
GRCh38___ZCCHC17,GRCh38___ENSG00000121766,Gene Expression,15784
GRCh38___FABP3,GRCh38___ENSG00000121769,Gene Expression,20
GRCh38___SERINC2,GRCh38___ENSG00000168528,Gene Expression,1081
GRCh38___TINAGL1,GRCh38___ENSG00000142910,Gene Expression,15
GRCh38___HCRTR1,GRCh38___ENSG00000121764,Gene Expression,3
GRCh38___PEF1,GRCh38___ENSG00000162517,Gene Expression,17988
GRCh38___AC114488.2,GRCh38___ENSG00000235790,Gene Expression,62
GRCh38___AC114488.3,GRCh38___ENSG00000264078,Gene Expression,70
GRCh38___COL16A1,GRCh38___ENSG00000084636,Gene Expression,24
GRCh38___ADGRB2,GRCh38___ENSG00000121753,Gene Expression,84
GRCh38___AL354919.2,GRCh38___ENSG00000254545,Gene Expression,4
GRCh38___SPOCD1,GRCh38___ENSG00000134668,Gene Expression,43
GRCh38___AL354919.1,GRCh38___ENSG00000203620,Gene Expression,41
GRCh38___AL136115.2,GRCh38___ENSG00000269967,Gene Expression,68
GRCh38___PTP4A2,GRCh38___ENSG00000184007,Gene Expression,44962
GRCh38___AL136115.1,GRCh38___ENSG00000228634,Gene Expression,5
GRCh38___KHDRBS1,GRCh38___ENSG00000121774,Gene Expression,29130
GRCh38___AL445248.1,GRCh38___ENSG00000203325,Gene Expression,28
GRCh38___TMEM39B,GRCh38___ENSG00000121775,Gene Expression,5456
GRCh38___KPNA6,GRCh38___ENSG00000025800,Gene Expression,12489
GRCh38___TXLNA,GRCh38___ENSG00000084652,Gene Expression,6972
GRCh38___CCDC28B,GRCh38___ENSG00000160050,Gene Expression,7611
GRCh38___AL049795.1,GRCh38___ENSG00000224066,Gene Expression,49
GRCh38___IQCC,GRCh38___ENSG00000160051,Gene Expression,372
GRCh38___DCDC2B,GRCh38___ENSG00000222046,Gene Expression,16
GRCh38___TMEM234,GRCh38___ENSG00000160055,Gene Expression,3654
GRCh38___EIF3I,GRCh38___ENSG00000084623,Gene Expression,43088
GRCh38___FAM167B,GRCh38___ENSG00000183615,Gene Expression,511
GRCh38___LCK,GRCh38___ENSG00000182866,Gene Expression,48170
GRCh38___HDAC1,GRCh38___ENSG00000116478,Gene Expression,32113
GRCh38___MARCKSL1,GRCh38___ENSG00000175130,Gene Expression,12149
GRCh38___TSSK3,GRCh38___ENSG00000162526,Gene Expression,54
GRCh38___FAM229A,GRCh38___ENSG00000225828,Gene Expression,893
GRCh38___BSDC1,GRCh38___ENSG00000160058,Gene Expression,15449
GRCh38___ZBTB8A,GRCh38___ENSG00000160062,Gene Expression,163
GRCh38___ZBTB8OS,GRCh38___ENSG00000176261,Gene Expression,24334
GRCh38___RBBP4,GRCh38___ENSG00000162521,Gene Expression,31187
GRCh38___SYNC,GRCh38___ENSG00000162520,Gene Expression,967
GRCh38___KIAA1522,GRCh38___ENSG00000162522,Gene Expression,279
GRCh38___YARS,GRCh38___ENSG00000134684,Gene Expression,27935
GRCh38___S100PBP,GRCh38___ENSG00000116497,Gene Expression,7421
GRCh38___FNDC5,GRCh38___ENSG00000160097,Gene Expression,14
GRCh38___HPCA,GRCh38___ENSG00000121905,Gene Expression,11
GRCh38___TMEM54,GRCh38___ENSG00000121900,Gene Expression,24
GRCh38___RNF19B,GRCh38___ENSG00000116514,Gene Expression,6355
GRCh38___AL020995.1,GRCh38___ENSG00000236065,Gene Expression,13
GRCh38___AK2,GRCh38___ENSG00000004455,Gene Expression,17584
GRCh38___AZIN2,GRCh38___ENSG00000142920,Gene Expression,450
GRCh38___TRIM62,GRCh38___ENSG00000116525,Gene Expression,1590
GRCh38___AL662907.3,GRCh38___ENSG00000284721,Gene Expression,5
GRCh38___ZNF362,GRCh38___ENSG00000160094,Gene Expression,3553
GRCh38___A3GALT2,GRCh38___ENSG00000184389,Gene Expression,5
GRCh38___AL513327.1,GRCh38___ENSG00000225313,Gene Expression,7
GRCh38___PHC2,GRCh38___ENSG00000134686,Gene Expression,6380
GRCh38___ZSCAN20,GRCh38___ENSG00000121903,Gene Expression,162
GRCh38___SMIM12,GRCh38___ENSG00000163866,Gene Expression,15490
GRCh38___GJA4,GRCh38___ENSG00000187513,Gene Expression,14
GRCh38___DLGAP3,GRCh38___ENSG00000116544,Gene Expression,703
GRCh38___AC114490.3,GRCh38___ENSG00000284773,Gene Expression,755
GRCh38___AC114490.2,GRCh38___ENSG00000271741,Gene Expression,2410
GRCh38___TMEM35B,GRCh38___ENSG00000243749,Gene Expression,13627
GRCh38___ZMYM6,GRCh38___ENSG00000163867,Gene Expression,4326
GRCh38___ZMYM1,GRCh38___ENSG00000197056,Gene Expression,2545
GRCh38___AL590434.1,GRCh38___ENSG00000284640,Gene Expression,7
GRCh38___SFPQ,GRCh38___ENSG00000116560,Gene Expression,38816
GRCh38___ZMYM4,GRCh38___ENSG00000146463,Gene Expression,5203
GRCh38___ZMYM4-AS1,GRCh38___ENSG00000227409,Gene Expression,20
GRCh38___KIAA0319L,GRCh38___ENSG00000142687,Gene Expression,9958
GRCh38___NCDN,GRCh38___ENSG00000020129,Gene Expression,3025
GRCh38___AC004865.2,GRCh38___ENSG00000239636,Gene Expression,12293
GRCh38___TFAP2E,GRCh38___ENSG00000116819,Gene Expression,257
GRCh38___PSMB2,GRCh38___ENSG00000126067,Gene Expression,36866
GRCh38___C1orf216,GRCh38___ENSG00000142686,Gene Expression,2276
GRCh38___CLSPN,GRCh38___ENSG00000092853,Gene Expression,6265
GRCh38___AL354864.1,GRCh38___ENSG00000232335,Gene Expression,23
GRCh38___AGO4,GRCh38___ENSG00000134698,Gene Expression,5421
GRCh38___AGO1,GRCh38___ENSG00000092847,Gene Expression,5225
GRCh38___AL139286.2,GRCh38___ENSG00000271914,Gene Expression,15
GRCh38___AGO3,GRCh38___ENSG00000126070,Gene Expression,13404
GRCh38___AL138787.2,GRCh38___ENSG00000271554,Gene Expression,32
GRCh38___TEKT2,GRCh38___ENSG00000092850,Gene Expression,13
GRCh38___ADPRHL2,GRCh38___ENSG00000116863,Gene Expression,9073
GRCh38___COL8A2,GRCh38___ENSG00000171812,Gene Expression,152
GRCh38___TRAPPC3,GRCh38___ENSG00000054116,Gene Expression,19668
GRCh38___MAP7D1,GRCh38___ENSG00000116871,Gene Expression,12582
GRCh38___THRAP3,GRCh38___ENSG00000054118,Gene Expression,42578
GRCh38___SH3D21,GRCh38___ENSG00000214193,Gene Expression,468
GRCh38___EVA1B,GRCh38___ENSG00000142694,Gene Expression,733
GRCh38___AL591845.1,GRCh38___ENSG00000116883,Gene Expression,52
GRCh38___STK40,GRCh38___ENSG00000196182,Gene Expression,7533
GRCh38___LSM10,GRCh38___ENSG00000181817,Gene Expression,24275
GRCh38___OSCP1,GRCh38___ENSG00000116885,Gene Expression,186
GRCh38___MRPS15,GRCh38___ENSG00000116898,Gene Expression,30331
GRCh38___CSF3R,GRCh38___ENSG00000119535,Gene Expression,19721
GRCh38___LINC01137,GRCh38___ENSG00000233621,Gene Expression,1333
GRCh38___ZC3H12A,GRCh38___ENSG00000163874,Gene Expression,19321
GRCh38___MEAF6,GRCh38___ENSG00000163875,Gene Expression,28381
GRCh38___SNIP1,GRCh38___ENSG00000163877,Gene Expression,16807
GRCh38___DNALI1,GRCh38___ENSG00000163879,Gene Expression,16
GRCh38___GNL2,GRCh38___ENSG00000134697,Gene Expression,14425
GRCh38___C1orf109,GRCh38___ENSG00000116922,Gene Expression,3434
GRCh38___CDCA8,GRCh38___ENSG00000134690,Gene Expression,3318
GRCh38___EPHA10,GRCh38___ENSG00000183317,Gene Expression,8
GRCh38___MANEAL,GRCh38___ENSG00000185090,Gene Expression,181
GRCh38___AL929472.3,GRCh38___ENSG00000233728,Gene Expression,4
GRCh38___YRDC,GRCh38___ENSG00000196449,Gene Expression,2503
GRCh38___C1orf122,GRCh38___ENSG00000197982,Gene Expression,8217
GRCh38___MTF1,GRCh38___ENSG00000188786,Gene Expression,11496
GRCh38___AL929472.2,GRCh38___ENSG00000230955,Gene Expression,3
GRCh38___INPP5B,GRCh38___ENSG00000204084,Gene Expression,4273
GRCh38___SF3A3,GRCh38___ENSG00000183431,Gene Expression,20457
GRCh38___FHL3,GRCh38___ENSG00000183386,Gene Expression,2892
GRCh38___UTP11,GRCh38___ENSG00000183520,Gene Expression,8022
GRCh38___POU3F1,GRCh38___ENSG00000185668,Gene Expression,85
GRCh38___AL139158.2,GRCh38___ENSG00000224592,Gene Expression,12
GRCh38___LINC01685,GRCh38___ENSG00000238063,Gene Expression,21
GRCh38___RRAGC,GRCh38___ENSG00000116954,Gene Expression,5938
GRCh38___AL139260.1,GRCh38___ENSG00000228436,Gene Expression,1357
GRCh38___MYCBP,GRCh38___ENSG00000214114,Gene Expression,13214
GRCh38___AKIRIN1,GRCh38___ENSG00000174574,Gene Expression,28783
GRCh38___NDUFS5,GRCh38___ENSG00000168653,Gene Expression,61100
GRCh38___MACF1,GRCh38___ENSG00000127603,Gene Expression,42624
GRCh38___BMP8A,GRCh38___ENSG00000183682,Gene Expression,4
GRCh38___PABPC4,GRCh38___ENSG00000090621,Gene Expression,14070
GRCh38___AL365277.1,GRCh38___ENSG00000228060,Gene Expression,26
GRCh38___HEYL,GRCh38___ENSG00000163909,Gene Expression,11
GRCh38___HPCAL4,GRCh38___ENSG00000116983,Gene Expression,301
GRCh38___PPIE,GRCh38___ENSG00000084072,Gene Expression,13724
GRCh38___BMP8B,GRCh38___ENSG00000116985,Gene Expression,72
GRCh38___OXCT2,GRCh38___ENSG00000198754,Gene Expression,281
GRCh38___AL033527.3,GRCh38___ENSG00000261798,Gene Expression,46
GRCh38___AL033527.5,GRCh38___ENSG00000284719,Gene Expression,551
GRCh38___AL033527.4,GRCh38___ENSG00000284678,Gene Expression,23
GRCh38___TRIT1,GRCh38___ENSG00000043514,Gene Expression,3567
GRCh38___MYCL,GRCh38___ENSG00000116990,Gene Expression,667
GRCh38___AL033527.2,GRCh38___ENSG00000236546,Gene Expression,13
GRCh38___MFSD2A,GRCh38___ENSG00000168389,Gene Expression,2235
GRCh38___CAP1,GRCh38___ENSG00000131236,Gene Expression,56724
GRCh38___PPT1,GRCh38___ENSG00000131238,Gene Expression,21046
GRCh38___RLF,GRCh38___ENSG00000117000,Gene Expression,20343
GRCh38___TMCO2,GRCh38___ENSG00000188800,Gene Expression,7
GRCh38___AL050341.2,GRCh38___ENSG00000259943,Gene Expression,1438
GRCh38___ZMPSTE24,GRCh38___ENSG00000084073,Gene Expression,8965
GRCh38___COL9A2,GRCh38___ENSG00000049089,Gene Expression,1318
GRCh38___SMAP2,GRCh38___ENSG00000084070,Gene Expression,29685
GRCh38___AL031985.4,GRCh38___ENSG00000284677,Gene Expression,19
GRCh38___ZFP69B,GRCh38___ENSG00000187801,Gene Expression,272
GRCh38___ZFP69,GRCh38___ENSG00000187815,Gene Expression,476
GRCh38___AL603839.3,GRCh38___ENSG00000238287,Gene Expression,229
GRCh38___EXO5,GRCh38___ENSG00000164002,Gene Expression,1797
GRCh38___AL603839.1,GRCh38___ENSG00000227278,Gene Expression,3
GRCh38___AL603839.2,GRCh38___ENSG00000238186,Gene Expression,5
GRCh38___ZNF684,GRCh38___ENSG00000117010,Gene Expression,4989
GRCh38___RIMS3,GRCh38___ENSG00000117016,Gene Expression,120
GRCh38___AL031289.1,GRCh38___ENSG00000237899,Gene Expression,3
GRCh38___NFYC-AS1,GRCh38___ENSG00000272145,Gene Expression,1682
GRCh38___NFYC,GRCh38___ENSG00000066136,Gene Expression,17234
GRCh38___KCNQ4,GRCh38___ENSG00000117013,Gene Expression,66
GRCh38___CITED4,GRCh38___ENSG00000179862,Gene Expression,377
GRCh38___CTPS1,GRCh38___ENSG00000171793,Gene Expression,13354
GRCh38___SLFNL1-AS1,GRCh38___ENSG00000281207,Gene Expression,72
GRCh38___SLFNL1,GRCh38___ENSG00000171790,Gene Expression,37
GRCh38___SCMH1,GRCh38___ENSG00000010803,Gene Expression,1590
GRCh38___AC093151.3,GRCh38___ENSG00000235358,Gene Expression,3
GRCh38___FOXO6,GRCh38___ENSG00000204060,Gene Expression,21
GRCh38___EDN2,GRCh38___ENSG00000127129,Gene Expression,52
GRCh38___HIVEP3,GRCh38___ENSG00000127124,Gene Expression,8330
GRCh38___GUCA2B,GRCh38___ENSG00000044012,Gene Expression,3
GRCh38___FOXJ3,GRCh38___ENSG00000198815,Gene Expression,13321
GRCh38___RIMKLA,GRCh38___ENSG00000177181,Gene Expression,44
GRCh38___ZMYND12,GRCh38___ENSG00000066185,Gene Expression,194
GRCh38___PPCS,GRCh38___ENSG00000127125,Gene Expression,25501
GRCh38___CCDC30,GRCh38___ENSG00000186409,Gene Expression,572
GRCh38___PPIH,GRCh38___ENSG00000171960,Gene Expression,18921
GRCh38___AC098484.2,GRCh38___ENSG00000234917,Gene Expression,14
GRCh38___YBX1,GRCh38___ENSG00000065978,Gene Expression,56610
GRCh38___P3H1,GRCh38___ENSG00000117385,Gene Expression,5274
GRCh38___C1orf50,GRCh38___ENSG00000164008,Gene Expression,4753
GRCh38___AC098484.3,GRCh38___ENSG00000283580,Gene Expression,3266
GRCh38___AC098484.1,GRCh38___ENSG00000228452,Gene Expression,5
GRCh38___TMEM269,GRCh38___ENSG00000274386,Gene Expression,15
GRCh38___SVBP,GRCh38___ENSG00000177868,Gene Expression,11323
GRCh38___ERMAP,GRCh38___ENSG00000164010,Gene Expression,1999
GRCh38___AL512353.1,GRCh38___ENSG00000228192,Gene Expression,209
GRCh38___ZNF691,GRCh38___ENSG00000164011,Gene Expression,938
GRCh38___SLC2A1,GRCh38___ENSG00000117394,Gene Expression,11286
GRCh38___SLC2A1-AS1,GRCh38___ENSG00000227533,Gene Expression,224
GRCh38___EBNA1BP2,GRCh38___ENSG00000117395,Gene Expression,12514
GRCh38___CFAP57,GRCh38___ENSG00000243710,Gene Expression,52
GRCh38___TMEM125,GRCh38___ENSG00000179178,Gene Expression,6
GRCh38___TIE1,GRCh38___ENSG00000066056,Gene Expression,90
GRCh38___MPL,GRCh38___ENSG00000117400,Gene Expression,36
GRCh38___AL139289.2,GRCh38___ENSG00000234694,Gene Expression,200
GRCh38___CDC20,GRCh38___ENSG00000117399,Gene Expression,2523
GRCh38___ELOVL1,GRCh38___ENSG00000066322,Gene Expression,24344
GRCh38___MED8,GRCh38___ENSG00000159479,Gene Expression,11482
GRCh38___AL139289.1,GRCh38___ENSG00000229431,Gene Expression,14
GRCh38___SZT2,GRCh38___ENSG00000198198,Gene Expression,5127
GRCh38___SZT2-AS1,GRCh38___ENSG00000229372,Gene Expression,4
GRCh38___HYI,GRCh38___ENSG00000178922,Gene Expression,1778
GRCh38___PTPRF,GRCh38___ENSG00000142949,Gene Expression,21
GRCh38___AL451062.3,GRCh38___ENSG00000284989,Gene Expression,3574
GRCh38___KDM4A,GRCh38___ENSG00000066135,Gene Expression,2522
GRCh38___KDM4A-AS1,GRCh38___ENSG00000236200,Gene Expression,123
GRCh38___ST3GAL3,GRCh38___ENSG00000126091,Gene Expression,2328
GRCh38___ARTN,GRCh38___ENSG00000117407,Gene Expression,7
GRCh38___AL357079.1,GRCh38___ENSG00000237950,Gene Expression,25
GRCh38___IPO13,GRCh38___ENSG00000117408,Gene Expression,1883
GRCh38___DPH2,GRCh38___ENSG00000132768,Gene Expression,4419
GRCh38___ATP6V0B,GRCh38___ENSG00000117410,Gene Expression,51425
GRCh38___B4GALT2,GRCh38___ENSG00000117411,Gene Expression,327
GRCh38___CCDC24,GRCh38___ENSG00000159214,Gene Expression,907
GRCh38___SLC6A9,GRCh38___ENSG00000196517,Gene Expression,36
GRCh38___AL139220.2,GRCh38___ENSG00000230615,Gene Expression,58
GRCh38___DMAP1,GRCh38___ENSG00000178028,Gene Expression,11535
GRCh38___ERI3,GRCh38___ENSG00000117419,Gene Expression,10190
GRCh38___RNF220,GRCh38___ENSG00000187147,Gene Expression,8212
GRCh38___TMEM53,GRCh38___ENSG00000126106,Gene Expression,1940
GRCh38___ARMH1,GRCh38___ENSG00000198520,Gene Expression,5531
GRCh38___KIF2C,GRCh38___ENSG00000142945,Gene Expression,2023
GRCh38___AL592166.1,GRCh38___ENSG00000225721,Gene Expression,90
GRCh38___RPS8,GRCh38___ENSG00000142937,Gene Expression,86517
GRCh38___BEST4,GRCh38___ENSG00000142959,Gene Expression,139
GRCh38___PLK3,GRCh38___ENSG00000173846,Gene Expression,17965
GRCh38___TCTEX1D4,GRCh38___ENSG00000188396,Gene Expression,66
GRCh38___BTBD19,GRCh38___ENSG00000222009,Gene Expression,813
GRCh38___PTCH2,GRCh38___ENSG00000117425,Gene Expression,3397
GRCh38___EIF2B3,GRCh38___ENSG00000070785,Gene Expression,7066
GRCh38___HECTD3,GRCh38___ENSG00000126107,Gene Expression,7077
GRCh38___UROD,GRCh38___ENSG00000126088,Gene Expression,14921
GRCh38___ZSWIM5,GRCh38___ENSG00000162415,Gene Expression,290
GRCh38___LINC01144,GRCh38___ENSG00000281912,Gene Expression,119
GRCh38___HPDL,GRCh38___ENSG00000186603,Gene Expression,674
GRCh38___MUTYH,GRCh38___ENSG00000132781,Gene Expression,7991
GRCh38___TOE1,GRCh38___ENSG00000132773,Gene Expression,9363
GRCh38___TESK2,GRCh38___ENSG00000070759,Gene Expression,2346
GRCh38___CCDC163,GRCh38___ENSG00000280670,Gene Expression,2098
GRCh38___MMACHC,GRCh38___ENSG00000132763,Gene Expression,416
GRCh38___PRDX1,GRCh38___ENSG00000117450,Gene Expression,40098
GRCh38___AKR1A1,GRCh38___ENSG00000117448,Gene Expression,28391
GRCh38___NASP,GRCh38___ENSG00000132780,Gene Expression,28372
GRCh38___CCDC17,GRCh38___ENSG00000159588,Gene Expression,303
GRCh38___GPBP1L1,GRCh38___ENSG00000159592,Gene Expression,17055
GRCh38___TMEM69,GRCh38___ENSG00000159596,Gene Expression,4545
GRCh38___IPP,GRCh38___ENSG00000197429,Gene Expression,3895
GRCh38___MAST2,GRCh38___ENSG00000086015,Gene Expression,1283
GRCh38___PIK3R3,GRCh38___ENSG00000117461,Gene Expression,1747
GRCh38___AL358075.1,GRCh38___ENSG00000226957,Gene Expression,3
GRCh38___AL358075.2,GRCh38___ENSG00000227857,Gene Expression,20
GRCh38___TSPAN1,GRCh38___ENSG00000117472,Gene Expression,22
GRCh38___POMGNT1,GRCh38___ENSG00000085998,Gene Expression,2400
GRCh38___LURAP1,GRCh38___ENSG00000171357,Gene Expression,24
GRCh38___RAD54L,GRCh38___ENSG00000085999,Gene Expression,1094
GRCh38___LRRC41,GRCh38___ENSG00000132128,Gene Expression,7794
GRCh38___UQCRH,GRCh38___ENSG00000173660,Gene Expression,61765
GRCh38___NSUN4,GRCh38___ENSG00000117481,Gene Expression,5619
GRCh38___FAAH,GRCh38___ENSG00000117480,Gene Expression,843
GRCh38___MKNK1,GRCh38___ENSG00000079277,Gene Expression,10945
GRCh38___MOB3C,GRCh38___ENSG00000142961,Gene Expression,1934
GRCh38___ATPAF1,GRCh38___ENSG00000123472,Gene Expression,4092
GRCh38___EFCAB14,GRCh38___ENSG00000159658,Gene Expression,20592
GRCh38___CYP4A22-AS1,GRCh38___ENSG00000225506,Gene Expression,3
GRCh38___LINC00853,GRCh38___ENSG00000224805,Gene Expression,83
GRCh38___PDZK1IP1,GRCh38___ENSG00000162366,Gene Expression,1481
GRCh38___TAL1,GRCh38___ENSG00000162367,Gene Expression,307
GRCh38___AL135960.1,GRCh38___ENSG00000226252,Gene Expression,3
GRCh38___STIL,GRCh38___ENSG00000123473,Gene Expression,1872
GRCh38___CMPK1,GRCh38___ENSG00000162368,Gene Expression,17985
GRCh38___LINC01389,GRCh38___ENSG00000225762,Gene Expression,14
GRCh38___FOXE3,GRCh38___ENSG00000186790,Gene Expression,4
GRCh38___FOXD2-AS1,GRCh38___ENSG00000237424,Gene Expression,475
GRCh38___FOXD2,GRCh38___ENSG00000186564,Gene Expression,144
GRCh38___SLC5A9,GRCh38___ENSG00000117834,Gene Expression,16
GRCh38___AL109659.2,GRCh38___ENSG00000272491,Gene Expression,14
GRCh38___SPATA6,GRCh38___ENSG00000132122,Gene Expression,1983
GRCh38___AGBL4,GRCh38___ENSG00000186094,Gene Expression,25
GRCh38___BEND5,GRCh38___ENSG00000162373,Gene Expression,485
GRCh38___ELAVL4,GRCh38___ENSG00000162374,Gene Expression,50
