,feature_types
AC021351.1,Gene Expression
MEIS2,Gene Expression
AC078909.1,Gene Expression
LINC02345,Gene Expression
LINC01852,Gene Expression
AC087473.1,Gene Expression
SPRED1,Gene Expression
FAM98B,Gene Expression
RASGRP1,Gene Expression
AC116158.1,Gene Expression
AC116158.2,Gene Expression
AC022929.2,Gene Expression
AC013652.1,Gene Expression
AC087878.1,Gene Expression
AC113146.1,Gene Expression
C15orf54,Gene Expression
AC013652.2,Gene Expression
AC109630.1,Gene Expression
THBS1,Gene Expression
AC037198.2,Gene Expression
FSIP1,Gene Expression
AC023908.3,Gene Expression
GPR176,Gene Expression
EIF2AK4,Gene Expression
SRP14,Gene Expression
SRP14-AS1,Gene Expression
AC021755.2,Gene Expression
AC021755.3,Gene Expression
BMF,Gene Expression
BMF-AS1,Gene Expression
BUB1B,Gene Expression
PAK6,Gene Expression
PLCB2,Gene Expression
ANKRD63,Gene Expression
PLCB2-AS1,Gene Expression
AC020658.2,Gene Expression
INAFM2,Gene Expression
CCDC9B,Gene Expression
PHGR1,Gene Expression
DISP2,Gene Expression
KNSTRN,Gene Expression
IVD,Gene Expression
BAHD1,Gene Expression
AC013356.3,Gene Expression
AC013356.2,Gene Expression
CHST14,Gene Expression
AC091045.1,Gene Expression
CCDC32,Gene Expression
RPUSD2,Gene Expression
KNL1,Gene Expression
RAD51,Gene Expression
RMDN3,Gene Expression
GCHFR,Gene Expression
DNAJC17,Gene Expression
C15orf62,Gene Expression
ZFYVE19,Gene Expression
SPINT1-AS1,Gene Expression
SPINT1,Gene Expression
RHOV,Gene Expression
VPS18,Gene Expression
AC020661.1,Gene Expression
DLL4,Gene Expression
CHAC1,Gene Expression
INO80,Gene Expression
AC020661.3,Gene Expression
AC020661.2,Gene Expression
INO80-AS1,Gene Expression
EXD1,Gene Expression
CHP1,Gene Expression
OIP5,Gene Expression
NUSAP1,Gene Expression
NDUFAF1,Gene Expression
RTF1,Gene Expression
ITPKA,Gene Expression
LTK,Gene Expression
RPAP1,Gene Expression
TYRO3,Gene Expression
AC016134.1,Gene Expression
MGA,Gene Expression
AC073657.1,Gene Expression
MAPKBP1,Gene Expression
AC020659.2,Gene Expression
JMJD7,Gene Expression
PLA2G4B,Gene Expression
SPTBN5,Gene Expression
AC020659.1,Gene Expression
EHD4,Gene Expression
EHD4-AS1,Gene Expression
PLA2G4E-AS1,Gene Expression
VPS39,Gene Expression
AC036103.1,Gene Expression
TMEM87A,Gene Expression
GANC,Gene Expression
CAPN3,Gene Expression
ZNF106,Gene Expression
SNAP23,Gene Expression
AC018362.1,Gene Expression
LRRC57,Gene Expression
HAUS2,Gene Expression
AC018362.2,Gene Expression
STARD9,Gene Expression
CDAN1,Gene Expression
AC090510.3,Gene Expression
AC090510.2,Gene Expression
TTBK2,Gene Expression
AC090510.1,Gene Expression
UBR1,Gene Expression
TMEM62,Gene Expression
CCNDBP1,Gene Expression
EPB42,Gene Expression
TGM5,Gene Expression
LCMT2,Gene Expression
ADAL,Gene Expression
ZSCAN29,Gene Expression
TUBGCP4,Gene Expression
TP53BP1,Gene Expression
MAP1A,Gene Expression
PPIP5K1,Gene Expression
CKMT1B,Gene Expression
STRC,Gene Expression
CATSPER2,Gene Expression
CKMT1A,Gene Expression
PDIA3,Gene Expression
ELL3,Gene Expression
SERF2,Gene Expression
SERINC4,Gene Expression
HYPK,Gene Expression
MFAP1,Gene Expression
WDR76,Gene Expression
FRMD5,Gene Expression
AC025043.1,Gene Expression
CTDSPL2,Gene Expression
AC025430.1,Gene Expression
EIF3J-DT,Gene Expression
EIF3J,Gene Expression
SPG11,Gene Expression
PATL2,Gene Expression
B2M,Gene Expression
TRIM69,Gene Expression
AC122108.2,Gene Expression
SORD,Gene Expression
AC091117.1,Gene Expression
DUOX2,Gene Expression
DUOXA2,Gene Expression
DUOXA1,Gene Expression
DUOX1,Gene Expression
SHF,Gene Expression
AC051619.4,Gene Expression
SLC28A2,Gene Expression
GATM,Gene Expression
AC025580.3,Gene Expression
SPATA5L1,Gene Expression
C15orf48,Gene Expression
AC025580.1,Gene Expression
AC025580.2,Gene Expression
SLC30A4,Gene Expression
AC090527.3,Gene Expression
BLOC1S6,Gene Expression
SQOR,Gene Expression
AC068722.2,Gene Expression
AC068722.1,Gene Expression
SLC24A5,Gene Expression
MYEF2,Gene Expression
CTXN2,Gene Expression
SLC12A1,Gene Expression
AC023355.1,Gene Expression
DUT,Gene Expression
FBN1,Gene Expression
AC084757.3,Gene Expression
AC084757.4,Gene Expression
CEP152,Gene Expression
AC084757.2,Gene Expression
AC012379.1,Gene Expression
SHC4,Gene Expression
EID1,Gene Expression
SECISBP2L,Gene Expression
AC013452.2,Gene Expression
COPS2,Gene Expression
GALK2,Gene Expression
FAM227B,Gene Expression
AC022306.2,Gene Expression
FGF7,Gene Expression
DTWD1,Gene Expression
ATP8B4,Gene Expression
AC025040.1,Gene Expression
SLC27A2,Gene Expression
HDC,Gene Expression
GABPB1,Gene Expression
GABPB1-AS1,Gene Expression
AC022087.1,Gene Expression
USP8,Gene Expression
USP50,Gene Expression
TRPM7,Gene Expression
AC084756.1,Gene Expression
SPPL2A,Gene Expression
AC021752.1,Gene Expression
AP4E1,Gene Expression
MIR4713HG,Gene Expression
TNFAIP8L3,Gene Expression
CYP19A1,Gene Expression
GLDN,Gene Expression
AC066613.2,Gene Expression
DMXL2,Gene Expression
AC066613.1,Gene Expression
SCG3,Gene Expression
AC020892.1,Gene Expression
LYSMD2,Gene Expression
TMOD2,Gene Expression
TMOD3,Gene Expression
AC090971.2,Gene Expression
LEO1,Gene Expression
MAPK6,Gene Expression
AC023906.5,Gene Expression
BCL2L10,Gene Expression
GNB5,Gene Expression
AC023906.3,Gene Expression
AC023906.4,Gene Expression
CERNA1,Gene Expression
MYO5C,Gene Expression
MYO5A,Gene Expression
ARPP19,Gene Expression
AC025917.1,Gene Expression
FAM214A,Gene Expression
ONECUT1,Gene Expression
WDR72,Gene Expression
UNC13C,Gene Expression
RSL24D1,Gene Expression
RAB27A,Gene Expression
PIGBOS1,Gene Expression
PIGB,Gene Expression
CCPG1,Gene Expression
C15orf65,Gene Expression
DNAAF4,Gene Expression
PYGO1,Gene Expression
PRTG,Gene Expression
NEDD4,Gene Expression
RFX7,Gene Expression
TEX9,Gene Expression
AC084782.1,Gene Expression
MNS1,Gene Expression
AC084782.3,Gene Expression
AC090518.1,Gene Expression
ZNF280D,Gene Expression
AC010999.2,Gene Expression
TCF12,Gene Expression
LINC00926,Gene Expression
LINC01413,Gene Expression
CGNL1,Gene Expression
GCOM1,Gene Expression
MYZAP,Gene Expression
POLR2M,Gene Expression
AC090651.1,Gene Expression
ALDH1A2,Gene Expression
AC025431.1,Gene Expression
AQP9,Gene Expression
LIPC,Gene Expression
LIPC-AS1,Gene Expression
AC018904.1,Gene Expression
ADAM10,Gene Expression
AC090515.2,Gene Expression
MINDY2,Gene Expression
AC090515.4,Gene Expression
RNF111,Gene Expression
SLTM,Gene Expression
AC025918.1,Gene Expression
CCNB2,Gene Expression
AC092757.3,Gene Expression
MYO1E,Gene Expression
LDHAL6B,Gene Expression
FAM81A,Gene Expression
GCNT3,Gene Expression
GTF2A2,Gene Expression
BNIP2,Gene Expression
AC092755.2,Gene Expression
FOXB1,Gene Expression
ANXA2,Gene Expression
ICE2,Gene Expression
RORA-AS1,Gene Expression
RORA,Gene Expression
AC107241.1,Gene Expression
AC009560.1,Gene Expression
RORA-AS2,Gene Expression
AC022898.1,Gene Expression
AC009554.1,Gene Expression
VPS13C,Gene Expression
AC104590.1,Gene Expression
C2CD4A,Gene Expression
C2CD4B,Gene Expression
AC126323.2,Gene Expression
AC032011.1,Gene Expression
TLN2,Gene Expression
AC103740.1,Gene Expression
TPM1,Gene Expression
TPM1-AS,Gene Expression
AC079328.2,Gene Expression
LACTB,Gene Expression
RPS27L,Gene Expression
RAB8B,Gene Expression
APH1B,Gene Expression
CA12,Gene Expression
LINC02568,Gene Expression
AC007950.1,Gene Expression
AC007950.2,Gene Expression
USP3,Gene Expression
USP3-AS1,Gene Expression
FBXL22,Gene Expression
HERC1,Gene Expression
AC073167.1,Gene Expression
DAPK2,Gene Expression
AC015914.1,Gene Expression
SNX1,Gene Expression
SNX22,Gene Expression
PPIB,Gene Expression
CSNK1G1,Gene Expression
PCLAF,Gene Expression
TRIP4,Gene Expression
ZNF609,Gene Expression
OAZ2,Gene Expression
AC100830.3,Gene Expression
AC100830.2,Gene Expression
AC100830.1,Gene Expression
RBPMS2,Gene Expression
PIF1,Gene Expression
PLEKHO2,Gene Expression
ANKDD1A,Gene Expression
AC103691.2,Gene Expression
AC103691.1,Gene Expression
SPG21,Gene Expression
MTFMT,Gene Expression
SLC51B,Gene Expression
AC013553.3,Gene Expression
AC013553.4,Gene Expression
UBAP1L,Gene Expression
PDCD7,Gene Expression
CLPX,Gene Expression
CILP,Gene Expression
PARP16,Gene Expression
IGDCC3,Gene Expression
IGDCC4,Gene Expression
DPP8,Gene Expression
HACD3,Gene Expression
INTS14,Gene Expression
SLC24A1,Gene Expression
AC011939.3,Gene Expression
DENND4A,Gene Expression
RAB11A,Gene Expression
MEGF11,Gene Expression
AC055855.2,Gene Expression
DIS3L,Gene Expression
AC055855.1,Gene Expression
TIPIN,Gene Expression
MAP2K1,Gene Expression
AC116913.1,Gene Expression
SNAPC5,Gene Expression
RPL4,Gene Expression
ZWILCH,Gene Expression
LCTL,Gene Expression
LINC01169,Gene Expression
SMAD6,Gene Expression
AC110048.2,Gene Expression
LINC02206,Gene Expression
AC087482.1,Gene Expression
SMAD3,Gene Expression
AAGAB,Gene Expression
IQCH,Gene Expression
IQCH-AS1,Gene Expression
C15orf61,Gene Expression
AC016355.1,Gene Expression
MAP2K5,Gene Expression
SKOR1,Gene Expression
AC009292.1,Gene Expression
PIAS1,Gene Expression
CALML4,Gene Expression
CLN6,Gene Expression
AC107871.2,Gene Expression
FEM1B,Gene Expression
ITGA11,Gene Expression
CORO2B,Gene Expression
ANP32A,Gene Expression
SPESP1,Gene Expression
NOX5,Gene Expression
EWSAT1,Gene Expression
AC027088.2,Gene Expression
GLCE,Gene Expression
AC026992.1,Gene Expression
PAQR5,Gene Expression
AC027237.3,Gene Expression
KIF23,Gene Expression
RPLP1,Gene Expression
AC027237.2,Gene Expression
DRAIC,Gene Expression
TLE3,Gene Expression
LINC02205,Gene Expression
LINC02204,Gene Expression
SALRNA2,Gene Expression
UACA,Gene Expression
AC009269.2,Gene Expression
AC009269.3,Gene Expression
LARP6,Gene Expression
LRRC49,Gene Expression
THAP10,Gene Expression
NR2E3,Gene Expression
AC104938.1,Gene Expression
MYO9A,Gene Expression
SENP8,Gene Expression
GRAMD2A,Gene Expression
PKM,Gene Expression
PARP6,Gene Expression
AC009690.2,Gene Expression
CELF6,Gene Expression
HEXA,Gene Expression
HEXA-AS1,Gene Expression
TMEM202-AS1,Gene Expression
AC079322.1,Gene Expression
ARIH1,Gene Expression
LINC02259,Gene Expression
AC100827.4,Gene Expression
GOLGA6B,Gene Expression
HIGD2B,Gene Expression
BBS4,Gene Expression
ADPGK,Gene Expression
ADPGK-AS1,Gene Expression
NEO1,Gene Expression
HCN4,Gene Expression
REC114,Gene Expression
NPTN,Gene Expression
CD276,Gene Expression
LOXL1-AS1,Gene Expression
LOXL1,Gene Expression
STOML1,Gene Expression
PML,Gene Expression
GOLGA6A,Gene Expression
ISLR2,Gene Expression
STRA6,Gene Expression
AC023300.2,Gene Expression
CYP11A1,Gene Expression
AC090826.1,Gene Expression
AC090826.2,Gene Expression
SEMA7A,Gene Expression
UBL7,Gene Expression
UBL7-AS1,Gene Expression
ARID3B,Gene Expression
CLK3,Gene Expression
AC100835.2,Gene Expression
AC100835.1,Gene Expression
EDC3,Gene Expression
CYP1A1,Gene Expression
CYP1A2,Gene Expression
CSK,Gene Expression
LMAN1L,Gene Expression
CPLX3,Gene Expression
ULK3,Gene Expression
SCAMP2,Gene Expression
MPI,Gene Expression
FAM219B,Gene Expression
COX5A,Gene Expression
RPP25,Gene Expression
SCAMP5,Gene Expression
PPCDC,Gene Expression
C15orf39,Gene Expression
COMMD4,Gene Expression
AC068338.3,Gene Expression
NEIL1,Gene Expression
MAN2C1,Gene Expression
AC068338.2,Gene Expression
SIN3A,Gene Expression
PTPN9,Gene Expression
SNUPN,Gene Expression
AC105020.3,Gene Expression
AC105020.2,Gene Expression
IMP3,Gene Expression
AC105020.6,Gene Expression
AC105020.5,Gene Expression
SNX33,Gene Expression
CSPG4,Gene Expression
AC105020.1,Gene Expression
ODF3L1,Gene Expression
DNM1P35,Gene Expression
AC019294.3,Gene Expression
UBE2Q2,Gene Expression
FBXO22,Gene Expression
NRG4,Gene Expression
TMEM266,Gene Expression
AC091100.1,Gene Expression
ETFA,Gene Expression
ISL2,Gene Expression
AC027243.1,Gene Expression
AC027243.2,Gene Expression
SCAPER,Gene Expression
RCN2,Gene Expression
PSTPIP1,Gene Expression
TSPAN3,Gene Expression
AC090181.1,Gene Expression
PEAK1,Gene Expression
HMG20A,Gene Expression
AC046168.1,Gene Expression
LINGO1-AS1,Gene Expression
AC104758.4,Gene Expression
TBC1D2B,Gene Expression
SH2D7,Gene Expression
CIB2,Gene Expression
IDH3A,Gene Expression
ACSBG1,Gene Expression
AC090607.3,Gene Expression
DNAJA4,Gene Expression
WDR61,Gene Expression
AC090607.1,Gene Expression
AC090607.5,Gene Expression
CRABP1,Gene Expression
IREB2,Gene Expression
AC027228.1,Gene Expression
HYKK,Gene Expression
PSMA4,Gene Expression
CHRNA5,Gene Expression
AC027228.2,Gene Expression
CHRNB4,Gene Expression
AC067863.1,Gene Expression
ADAMTS7,Gene Expression
MORF4L1,Gene Expression
CTSH,Gene Expression
RASGRF1,Gene Expression
AC011944.1,Gene Expression
TMED3,Gene Expression
AC021483.1,Gene Expression
MTHFS,Gene Expression
AC021483.2,Gene Expression
ST20-AS1,Gene Expression
BCL2A1,Gene Expression
ZFAND6,Gene Expression
FAH,Gene Expression
CTXND1,Gene Expression
AC016705.2,Gene Expression
ARNT2,Gene Expression
AC108451.1,Gene Expression
ABHD17C,Gene Expression
AC023302.1,Gene Expression
CEMIP,Gene Expression
AC027808.2,Gene Expression
MESD,Gene Expression
AC068870.1,Gene Expression
AC068870.2,Gene Expression
TLNRD1,Gene Expression
CFAP161,Gene Expression
IL16,Gene Expression
STARD5,Gene Expression
TMC3-AS1,Gene Expression
TMC3,Gene Expression
AC103858.2,Gene Expression
AC109809.1,Gene Expression
AC023034.1,Gene Expression
AC104041.1,Gene Expression
MEX3B,Gene Expression
LINC01583,Gene Expression
EFL1,Gene Expression
SAXO2,Gene Expression
GOLGA6L10,Gene Expression
GOLGA6L9,Gene Expression
RPS17,Gene Expression
AC245033.2,Gene Expression
CPEB1,Gene Expression
CPEB1-AS1,Gene Expression
AP3B2,Gene Expression
AC105339.3,Gene Expression
SNHG21,Gene Expression
FSD2,Gene Expression
WHAMM,Gene Expression
HOMER2,Gene Expression
AC022558.2,Gene Expression
C15orf40,Gene Expression
AC024270.3,Gene Expression
BTBD1,Gene Expression
AC022558.3,Gene Expression
TM6SF1,Gene Expression
HDGFL3,Gene Expression
AC024270.2,Gene Expression
AC103876.1,Gene Expression
SH3GL3,Gene Expression
ADAMTSL3,Gene Expression
AC136698.1,Gene Expression
UBE2Q2L,Gene Expression
GOLGA6L4,Gene Expression
AC243562.3,Gene Expression
AC048382.4,Gene Expression
AC048382.5,Gene Expression
ZSCAN2,Gene Expression
AC048382.1,Gene Expression
AC048382.6,Gene Expression
WDR73,Gene Expression
NMB,Gene Expression
SEC11A,Gene Expression
AC115102.1,Gene Expression
ZNF592,Gene Expression
ALPK3,Gene Expression
SLC28A1,Gene Expression
PDE8A,Gene Expression
AKAP13,Gene Expression
AC087286.3,Gene Expression
AC087286.2,Gene Expression
AC087286.1,Gene Expression
AC021739.3,Gene Expression
AC021739.2,Gene Expression
AC021739.4,Gene Expression
KLHL25,Gene Expression
LINC00052,Gene Expression
NTRK3,Gene Expression
MRPL46,Gene Expression
MRPS11,Gene Expression
DET1,Gene Expression
AEN,Gene Expression
ISG20,Gene Expression
ACAN,Gene Expression
HAPLN3,Gene Expression
MFGE8,Gene Expression
ABHD2,Gene Expression
FANCI,Gene Expression
POLG,Gene Expression
AC124068.2,Gene Expression
MIR9-3HG,Gene Expression
RHCG,Gene Expression
TICRR,Gene Expression
KIF7,Gene Expression
PLIN1,Gene Expression
PEX11A,Gene Expression
WDR93,Gene Expression
MESP1,Gene Expression
MESP2,Gene Expression
ANPEP,Gene Expression
AP3S2,Gene Expression
ARPIN,Gene Expression
ZNF710,Gene Expression
ZNF710-AS1,Gene Expression
IDH2,Gene Expression
IDH2-DT,Gene Expression
SEMA4B,Gene Expression
CIB1,Gene Expression
GDPGP1,Gene Expression
TTLL13P,Gene Expression
NGRN,Gene Expression
AC091167.5,Gene Expression
ZNF774,Gene Expression
IQGAP1,Gene Expression
AC018946.1,Gene Expression
CRTC3,Gene Expression
AC103739.1,Gene Expression
AC103739.2,Gene Expression
CRTC3-AS1,Gene Expression
AC021422.1,Gene Expression
BLM,Gene Expression
FURIN,Gene Expression
FES,Gene Expression
MAN2A2,Gene Expression
HDDC3,Gene Expression
UNC45A,Gene Expression
RCCD1,Gene Expression
PRC1,Gene Expression
AC068831.6,Gene Expression
PRC1-AS1,Gene Expression
VPS33B,Gene Expression
VPS33B-DT,Gene Expression
SV2B,Gene Expression
AC107958.3,Gene Expression
AC107958.2,Gene Expression
SLCO3A1,Gene Expression
AC116903.2,Gene Expression
AC116903.1,Gene Expression
LINC00930,Gene Expression
FAM174B,Gene Expression
AC106028.4,Gene Expression
CHD2,Gene Expression
RGMA,Gene Expression
AC091078.1,Gene Expression
LINC01579,Gene Expression
LINC02207,Gene Expression
AC103996.2,Gene Expression
LINC01580,Gene Expression
MCTP2,Gene Expression
AC009432.1,Gene Expression
LINC01197,Gene Expression
LINC00924,Gene Expression
AC015574.1,Gene Expression
NR2F2,Gene Expression
LINC02254,Gene Expression
LINC00923,Gene Expression
ARRDC4,Gene Expression
AC024651.1,Gene Expression
LINC02251,Gene Expression
FAM169B,Gene Expression
IGF1R,Gene Expression
AC069029.1,Gene Expression
AC036108.1,Gene Expression
PGPEP1L,Gene Expression
SYNM,Gene Expression
AC036108.2,Gene Expression
TTC23,Gene Expression
AC036108.3,Gene Expression
LRRC28,Gene Expression
AC015660.3,Gene Expression
AC015660.1,Gene Expression
MEF2A,Gene Expression
LYSMD4,Gene Expression
AC090825.1,Gene Expression
AC084855.1,Gene Expression
ADAMTS17,Gene Expression
AC084855.2,Gene Expression
SPATA41,Gene Expression
CERS3,Gene Expression
AC027020.2,Gene Expression
AC027020.1,Gene Expression
LINS1,Gene Expression
ASB7,Gene Expression
AC015712.1,Gene Expression
AC015712.4,Gene Expression
ALDH1A3,Gene Expression
AC015712.2,Gene Expression
LRRK1,Gene Expression
AC090907.1,Gene Expression
AC090907.2,Gene Expression
AC019254.1,Gene Expression
CHSY1,Gene Expression
SELENOS,Gene Expression
SNRPA1,Gene Expression
AC023024.1,Gene Expression
PCSK6,Gene Expression
PCSK6-AS1,Gene Expression
TM2D3,Gene Expression
FAM138E,Gene Expression
AC140725.1,Gene Expression
WASIR2,Gene Expression
POLR3K,Gene Expression
SNRNP25,Gene Expression
RHBDF1,Gene Expression
MPG,Gene Expression
NPRL3,Gene Expression
Z69720.1,Gene Expression
Z69666.1,Gene Expression
HBZ,Gene Expression
HBM,Gene Expression
HBA2,Gene Expression
HBA1,Gene Expression
HBQ1,Gene Expression
Z69706.1,Gene Expression
LUC7L,Gene Expression
FAM234A,Gene Expression
RGS11,Gene Expression
ARHGDIG,Gene Expression
PDIA2,Gene Expression
AXIN1,Gene Expression
MRPL28,Gene Expression
NME4,Gene Expression
DECR2,Gene Expression
AL023881.1,Gene Expression
RAB11FIP3,Gene Expression
LINC00235,Gene Expression
CAPN15,Gene Expression
Z97986.1,Gene Expression
PRR35,Gene Expression
PIGQ,Gene Expression
NHLRC4,Gene Expression
RAB40C,Gene Expression
WFIKKN1,Gene Expression
METTL26,Gene Expression
MCRIP2,Gene Expression
AL022341.1,Gene Expression
WDR90,Gene Expression
AL022341.2,Gene Expression
RHOT2,Gene Expression
RHBDL1,Gene Expression
STUB1,Gene Expression
JMJD8,Gene Expression
WDR24,Gene Expression
FBXL16,Gene Expression
Z97653.1,Gene Expression
METRN,Gene Expression
CCDC78,Gene Expression
HAGHL,Gene Expression
MSLN,Gene Expression
MSLNL,Gene Expression
RPUSD1,Gene Expression
CHTF18,Gene Expression
AL031008.1,Gene Expression
LMF1,Gene Expression
LMF1-AS1,Gene Expression
SOX8,Gene Expression
AC009041.1,Gene Expression
AC009041.2,Gene Expression
CACNA1H,Gene Expression
AC120498.6,Gene Expression
TPSG1,Gene Expression
AC120498.10,Gene Expression
TPSB2,Gene Expression
TPSAB1,Gene Expression
TPSD1,Gene Expression
AC120498.9,Gene Expression
UBE2I,Gene Expression
AL031714.1,Gene Expression
BAIAP3,Gene Expression
TSR3,Gene Expression
GNPTG,Gene Expression
AL031709.1,Gene Expression
UNKL,Gene Expression
AL032819.1,Gene Expression
C16orf91,Gene Expression
CCDC154,Gene Expression
CLCN7,Gene Expression
AL031600.3,Gene Expression
AL031600.1,Gene Expression
PTX4,Gene Expression
TELO2,Gene Expression
IFT140,Gene Expression
AL031705.1,Gene Expression
TMEM204,Gene Expression
AL133297.2,Gene Expression
CRAMP1,Gene Expression
Z97652.1,Gene Expression
JPT2,Gene Expression
MAPK8IP3,Gene Expression
AL031710.1,Gene Expression
AL031717.1,Gene Expression
NME3,Gene Expression
MRPS34,Gene Expression
EME2,Gene Expression
SPSB3,Gene Expression
NUBP2,Gene Expression
IGFALS,Gene Expression
HAGH,Gene Expression
FAHD1,Gene Expression
MEIOB,Gene Expression
MSRB1,Gene Expression
RPL3L,Gene Expression
NDUFB10,Gene Expression
RPS2,Gene Expression
SNHG9,Gene Expression
RNF151,Gene Expression
AC005363.2,Gene Expression
TBL3,Gene Expression
NOXO1,Gene Expression
GFER,Gene Expression
AC005606.2,Gene Expression
SYNGR3,Gene Expression
AC005606.1,Gene Expression
ZNF598,Gene Expression
NPW,Gene Expression
SLC9A3R2,Gene Expression
NTHL1,Gene Expression
TSC2,Gene Expression
PKD1,Gene Expression
AC009065.6,Gene Expression
AC009065.3,Gene Expression
RAB26,Gene Expression
SNHG19,Gene Expression
TRAF7,Gene Expression
CASKIN1,Gene Expression
MLST8,Gene Expression
BRICD5,Gene Expression
AC009065.7,Gene Expression
PGP,Gene Expression
E4F1,Gene Expression
AC009065.1,Gene Expression
DNASE1L2,Gene Expression
ECI1,Gene Expression
AC009065.8,Gene Expression
RNPS1,Gene Expression
AC009065.4,Gene Expression
ABCA3,Gene Expression
CCNF,Gene Expression
AC106820.3,Gene Expression
AC106820.5,Gene Expression
TEDC2,Gene Expression
AC106820.2,Gene Expression
TBC1D24,Gene Expression
ATP6V0C,Gene Expression
AMDHD2,Gene Expression
CEMP1,Gene Expression
PDPK1,Gene Expression
AC093525.6,Gene Expression
AC093525.7,Gene Expression
AC093525.4,Gene Expression
AC093525.3,Gene Expression
AC141586.3,Gene Expression
AC141586.2,Gene Expression
KCTD5,Gene Expression
PRSS27,Gene Expression
SRRM2-AS1,Gene Expression
SRRM2,Gene Expression
ELOB,Gene Expression
AC092117.1,Gene Expression
PRSS33,Gene Expression
PRSS41,Gene Expression
PRSS21,Gene Expression
ZG16B,Gene Expression
PRSS22,Gene Expression
AC003965.2,Gene Expression
AC003965.1,Gene Expression
FLYWCH2,Gene Expression
FLYWCH1,Gene Expression
AC004034.1,Gene Expression
KREMEN2,Gene Expression
PKMYT1,Gene Expression
PAQR4,Gene Expression
AC004233.3,Gene Expression
AC004233.2,Gene Expression
CLDN9,Gene Expression
CLDN6,Gene Expression
TNFRSF12A,Gene Expression
HCFC1R1,Gene Expression
THOC6,Gene Expression
BICDL2,Gene Expression
AC108134.1,Gene Expression
MMP25,Gene Expression
MMP25-AS1,Gene Expression
IL32,Gene Expression
AC108134.3,Gene Expression
ZSCAN10,Gene Expression
ZNF213-AS1,Gene Expression
ZNF205,Gene Expression
ZNF213,Gene Expression
AC108134.2,Gene Expression
AJ003147.2,Gene Expression
OR1F1,Gene Expression
ZNF200,Gene Expression
MEFV,Gene Expression
LINC00921,Gene Expression
ZNF263,Gene Expression
TIGD7,Gene Expression
ZNF75A,Gene Expression
OR2C1,Gene Expression
AC025283.2,Gene Expression
MTRNR2L4,Gene Expression
ZSCAN32,Gene Expression
ZNF174,Gene Expression
ZNF597,Gene Expression
NAA60,Gene Expression
C16orf90,Gene Expression
CLUAP1,Gene Expression
NLRC3,Gene Expression
AC004494.1,Gene Expression
AC006111.1,Gene Expression
SLX4,Gene Expression
DNASE1,Gene Expression
TRAP1,Gene Expression
AC006111.3,Gene Expression
CREBBP,Gene Expression
ADCY9,Gene Expression
AC009171.2,Gene Expression
SRL,Gene Expression
LINC01569,Gene Expression
TFAP4,Gene Expression
GLIS2,Gene Expression
GLIS2-AS1,Gene Expression
PAM16,Gene Expression
CORO7,Gene Expression
VASN,Gene Expression
DNAJA3,Gene Expression
NMRAL1,Gene Expression
HMOX2,Gene Expression
CDIP1,Gene Expression
C16orf96,Gene Expression
AC023830.2,Gene Expression
UBALD1,Gene Expression
MGRN1,Gene Expression
AC023830.1,Gene Expression
NUDT16L1,Gene Expression
ANKS3,Gene Expression
C16orf71,Gene Expression
ZNF500,Gene Expression
SMIM22,Gene Expression
AC020663.2,Gene Expression
ROGDI,Gene Expression
GLYR1,Gene Expression
UBN1,Gene Expression
PPL,Gene Expression
SEC14L5,Gene Expression
NAGPA-AS1,Gene Expression
NAGPA,Gene Expression
ALG1,Gene Expression
C16orf89,Gene Expression
EEF2KMT,Gene Expression
AC026458.2,Gene Expression
RBFOX1,Gene Expression
METTL22,Gene Expression
ABAT,Gene Expression
TMEM186,Gene Expression
PMM2,Gene Expression
AC012173.1,Gene Expression
AC022167.2,Gene Expression
CARHSP1,Gene Expression
AC022167.1,Gene Expression
AC022167.4,Gene Expression
USP7,Gene Expression
AC022167.3,Gene Expression
AC087190.2,Gene Expression
C16orf72,Gene Expression
AC087190.1,Gene Expression
LINC02177,Gene Expression
GRIN2A,Gene Expression
ATF7IP2,Gene Expression
EMP2,Gene Expression
TEKT5,Gene Expression
NUBP1,Gene Expression
TVP23A,Gene Expression
AC133065.1,Gene Expression
CIITA,Gene Expression
DEXI,Gene Expression
CLEC16A,Gene Expression
AC007014.1,Gene Expression
AC007220.1,Gene Expression
RMI2,Gene Expression
SOCS1,Gene Expression
AC099489.1,Gene Expression
AC099489.3,Gene Expression
LITAF,Gene Expression
SNN,Gene Expression
TXNDC11,Gene Expression
AC007613.1,Gene Expression
ZC3H7A,Gene Expression
AC010654.1,Gene Expression
BCAR4,Gene Expression
RSL1D1,Gene Expression
AC007216.4,Gene Expression
GSPT1,Gene Expression
AC007216.2,Gene Expression
NPIPB2,Gene Expression
TNFRSF17,Gene Expression
SNX29,Gene Expression
AC007216.1,Gene Expression
AC007601.1,Gene Expression
AC010333.2,Gene Expression
AC010333.3,Gene Expression
CPPED1,Gene Expression
AC109597.1,Gene Expression
AC109597.2,Gene Expression
SHISA9,Gene Expression
ERCC4,Gene Expression
AC010401.1,Gene Expression
LINC02185,Gene Expression
AC130650.2,Gene Expression
MIR193BHG,Gene Expression
AC040173.1,Gene Expression
PARN,Gene Expression
BFAR,Gene Expression
PLA2G10,Gene Expression
NPIPA3,Gene Expression
NPIPA2,Gene Expression
NOMO1,Gene Expression
AC136443.3,Gene Expression
NPIPA1,Gene Expression
PDXDC1,Gene Expression
NTAN1,Gene Expression
